scientific_name,longitude,latitude
Empidonomus aurantioatrocristatus,-72.7161026,-3.4497494
Empidonomus aurantioatrocristatus,-58.57,-23.63
Empidonomus aurantioatrocristatus,-73.3230972,-3.0270408
Empidonomus aurantioatrocristatus,-70.9404802,-3.9740322
Empidonomus aurantioatrocristatus,-69.6108663,-13.1341956
Empidonomus aurantioatrocristatus,-43.9962959,-19.8564982
Empidonomus aurantioatrocristatus,-57.9593825,-35.7869054
Empidonomus aurantioatrocristatus,-60.0279236,-22.3570613
Empidonomus aurantioatrocristatus,-57.88,-24.75
Empidonomus aurantioatrocristatus,-57.66,-24.66
Empidonomus aurantioatrocristatus,-64.633333,-24.7
Empidonomus aurantioatrocristatus,-57.9933929,-31.3712266
Empidonomus aurantioatrocristatus,-56.3044081,-19.9526426
Empidonomus aurantioatrocristatus,-75.490669,-0.602844
Empidonomus aurantioatrocristatus,-63.1980801,-17.7240252
Empidonomus aurantioatrocristatus,-62.3822222,-19.4391667
Empidonomus aurantioatrocristatus,-77.6138592,-1.0649259
Empidonomus aurantioatrocristatus,-58.331,-24.081
Empidonomus aurantioatrocristatus,-76.4591897,-0.4710657
Empidonomus aurantioatrocristatus,-48.2577467,-13.499864
Empidonomus aurantioatrocristatus,-58.57,-23.63
Empidonomus aurantioatrocristatus,-60.3417708,-22.3553571
Empidonomus aurantioatrocristatus,-60.7340784,-9.1587927
Empidonomus aurantioatrocristatus,-60.5397222,-19.4322222
Empidonomus aurantioatrocristatus,-58.5130003,-23.8261173
Empidonomus aurantioatrocristatus,-42.5550652,-8.8289964
Empidonomus aurantioatrocristatus,-76.8593645,-2.5416598
Empidonomus aurantioatrocristatus,-76.1493409,-0.6375844
Empidonomus aurantioatrocristatus,-58.2115746,-31.8714351
Empidonomus aurantioatrocristatus,-64.2944598,-31.3417254
Empidonomus aurantioatrocristatus,-61.8874226,-9.7298119
Empidonomus aurantioatrocristatus,-69.6108663,-13.1341956
Empidonomus aurantioatrocristatus,-60.6205556,-19.2952778
Empidonomus aurantioatrocristatus,-61.86,-38.1176667
Empidonomus aurantioatrocristatus,-69.6119071,-13.1372421
Empidonomus aurantioatrocristatus,-72.9148221,-3.2529136
Empidonomus aurantioatrocristatus,-69.2934027,-12.8369198
Empidonomus aurantioatrocristatus,-63.2030368,-17.7416155
Empidonomus aurantioatrocristatus,-62.4588889,-19.4575
Empidonomus aurantioatrocristatus,-75.2581501,-0.5752276
Empidonomus aurantioatrocristatus,-58.2985174,-31.9789171
Empidonomus aurantioatrocristatus,-65.4797709,-31.375999
Empidonomus aurantioatrocristatus,-67.5084356,-30.6882296
